index,selector,name,short_name,id_number,director,img
86,g423,"BRANCH OF THE JSC ""AVIATION HOLDING COMPANY ""SUKHOI"" - KOMSOMOLSKY-ON-AMUR AVIATION PLANT NAMED AFTER YU.A. GAGARIN",Komsomolsky-On-Amur Aviation Plant,7740000090,Pekarsh Aleksandr Ivanovich,PEKARSH_ALEKSANDR.jpg
87,g419,"BRANCH OF THE JSC ""AVIATION HOLDING COMPANY ""SUKHOI"" - ""NOVOSIBIRSK AVIATION PLANT NAMED V.P. CHKALOV""",Novosibirsk Aviation Plant,7740000090,Smirnov Sergej Aleksandrovich,SMIRNOV_Sergej.jpg
88,g405,"CJSC ""SPECIALNOE KONSTRUKTORSKOE BYURO""","Specialnoe Konstruktorskoe Byuro
",5906034720,Kalinin Viktor Alexandrovich,KALININ_Viktor.jpg
89,g1053,"JSC ""ARZAMASSKIJ MASHINOSTROITELNYJ ZAVOD""",Arzamasskij Mashinostroitelnyj Zavod,5243001767,Krasovitsky Alexander Vladimirovich,KRASOVITSKY_Alexander.jpg
90,g1027,"Ltd ""KOMMERCHESKIE AVTOMOBILI - GRUPPA GAZ""",Gruppa Gaz,5256051148,Sorokin Vadim Nikolaevich,SOROKIN_VADIM.jpeg
91,g175,"CJSC ""ZAVOLZHSKIJ ZAVOD GUSENICHNYH TYAGACHEJ""",Zavolzhskij Zavod Gusenichnyh Tyagachej,5248031980,Zhunin Mihail Vladimirovich,no_photo.png
92,g21,"JSC SCIENTIFIC AND INTRODUCTION ENTERPRISE ""PROTEK""",Protek,3665017521,Shuvaev Vladimir Andreevich,no_photo.png
93,g6783,"CJSC ""ENIKS""",Eniks,1661009974,Pobezhimov Valerij Nikolaevich,POBEZHIMOV_VALERIJ.jpg
94,g6773,"PJSC ""ZAVOD TULA""",Zavod Tula,7104002862,Buhal Viktor Mihajlovich,no_photo.png
95,g6748,"JSC ""NAUCHNO-PROIZVODSTVENNOE OBEDINENIE RUSSKIE BAZOVYE INFORMACIONNYE TEHNOLOGII""",Russkie Bazovye Informacionnye Tehnologii,7726604816,Kabankov Pavel Yurevich,no_photo.png
96,g44743,"JSC ""LENINGRADSKIJ SUDOSTROITELNYJ ZAVOD ""PELLA""",Pella,4706000296,Caturov Garegin Gerbertovich,CATUROV_GAREGIN.jpg
97,g44751,"Ltd ""SPECIALNYJ TEHNOLOGICHESKIJ CENTR""",Special Technological Center Ltd,7802170553,Agafonnikov Roman Dmitrievich,no_photo.png
98,g6806,"JSC ""VOSTOCHNAIA VERF""",Vostochnaia Verf,2537009643,Zubakhin Oleg Viktorovich,ZUBAKHIN_Oleg.jpg
99,g597,"Central Design 
Bureau named after 
R.E. Alekseev","Central Design 
Bureau Named After 
R.E. Alekseev",5263001420 ,Italiansev Sergeii Anatolievich,ITALIANSEV_Sergeii.jpg
100,g289,"JSC ""KALASHNIKOV CONCERN"" ",Kalashnikov ,1832090230,Lepin Vladimir Nikolaevich,LEPIN_Vladimir.jpg
101,g577,"JSC ""KONCERN ""URALVAGONZAVOD""",Uralvagonzavod,7706453206,Potapov Aleksandr Valerievich,POTAPOV_Aleksandr.jpg
102,g569,"JSC ""VERTOLETY ROSSII""",Vertolety Rossii,7731559044,Kolesov Nykolai Aleksandrovych,KOLESOV_Nykolai.jpg
103,g303,RADIO ELECTRONIC TECHNOLOGY CONCERN JSC,Radio Electronic Technology ,7703695246,Pan Oleksandr Volodimirovich,PAN_Aleksandr.jpeg
104,g195,"JSC ""AIRCRAFT DEFENSE CONCERN ""ALMAZ-ANTEI""",Almaz-Antei,7731084175,Novikov Yan Valentinovich,NOVIKOV_Yan.jpg
105,g63,"JSC CORPOTARION ""MOSKOVSKIJ INSTITUT TEPLOTEHNIKI""",Moskovskij Institut Teplotehniki,7715842760,Ponomarev Sergey Alekseevich,no_photo.png
106,g331,"JSC ""SCIENTIFIC AND PRODUCTION CONCERN ""TEHNOLOGII MASHINOSTROENIYA""",Tehnologii Mashinostroeniya,7743813961,Kochkin Alexander Viktorovich,KOCHKIN_Alexander.jpg
107,g585,"JSC RESEARCH AND PRODUCTION ASSOCIATION ""VYSOKOTOCHNYE KOMPLEKSY""",Vysokotochnye Kompleksy,7704721192,Denisov Alexander Vladimirovich,DENISOV_Alexander.jpg
109,g347,"JSC ""OBEDINENNAYA PRIBOROSTROITELNAYA KORPORACIYA""",Obedinennaya Priborostroitelnaya Korporaciya,7704859803,Sakhnenko Sergey Stepanovich,SAKHNENKO_Sergey.jpg
