index,selector,name,short_name,id_number,director,img
100,g289,"АО ""КОНЦЕРН ""КАЛАШНИКОВ""",КАЛАШНИКОВ,1832090230,"
Лепін Володимир Миколайович",LEPIN_Vladimir.jpg
101,g577,"АО ""КОНЦЕРН ""УРАЛВАГОНЗАВОД""",УРАЛВАГОНЗАВОД,7706453206,Потапов Олександр Валерійович,POTAPOV_Aleksandr.jpg
102,g569,"АТ ""ВЕРТОЛЬОТИ РОСІЇ""",ВЕРТОЛЬОТИ РОСІЇ,7731559044,"
Колесов Микола Олександрович",KOLESOV_Nykolai.jpg
103,g303,"АТ ""КОНЦЕРН ""РАДІОЕЛЕКТРОННІ ТЕХНОЛОГІЇ""",РАДІОЕЛЕКТРОННІ ТЕХНОЛОГІЇ,7703695246,Пан Олександр Володимирович,PAN_Aleksandr.jpeg
104,g195,"АТ ""КОНЦЕРН ПОВІТРЯНО-КОСМІЧНОЇ ОБОРОНИ ""АЛМАЗ - АНТЕЙ""",АЛМАЗ - АНТЕЙ,7731084175,"
Новіков Ян Валентинович",NOVIKOV_Yan.jpg
105,g63,"АТ ""КОРПОРАЦІЯ ""МОСКІВСЬКИЙ ІНСТИТУТ ТЕПЛОТЕХНІКИ""",МОСКІВСЬКИЙ ІНСТИТУТ ТЕПЛОТЕХНІКИ,7715842760,"
Пономарьов Сергій Олексійович",no_photo.png
106,g331,"АТ ""НАУКОВО-ВИРОБНИЧИЙ КОНЦЕРН ""ТЕХНОЛОГІЇ МАШИНОБУДУВАННЯ""",ТЕХНОЛОГІЇ МАШИНОБУДУВАННЯ,7743813961,"
Кочкін Олександр Вікторович",KOCHKIN_Alexander.jpg
107,g585,"АТ ""НВО ""ВИСОКОТОЧНІ КОМПЛЕКСИ""",ВИСОКОТОЧНІ КОМПЛЕКСИ,7704721192,Денисов Олександр Володимирович,DENISOV_Alexander.jpg
109,g347,"АТ ""ОБ'ЄДНАНА ПРИЛАДОБУДІВНА КОРПОРАЦІЯ""",ОБ'ЄДНАНА ПРИЛАДОБУДІВНА КОРПОРАЦІЯ,7704859803,"
Сахненко Сергій Степанович",SAKHNENKO_Sergey.jpg
110,g6801,"АТ ""РС-ЛІЗИНГ""",РС-ЛІЗИНГ,1832003703,"
Зорін Андрій Васильович",ZORIN_Andrey.jpeg
112,g6788,"ПАТ ""КАМАЗ""",КАМАЗ,1650032058,Когогін Сергій Анатолійович,KOGOGIN_Sergey.jpg
113,g6761,МІНІСТЕРСТВО ЗЕМЕЛЬНИХ ТА МАЙНОВИХ ВІДНОСИН РЕСПУБЛІКИ ТАТАРСТАН,МІНІСТЕРСТВО ЗЕМЕЛЬНИХ ТА МАЙНОВИХ ВІДНОСИН РЕСПУБЛІКИ ТАТАРСТАН,1655043430,Агліуллін Фаніль Анварович,AGLIULLIN_Fanil.jpg
