index,level6,level6_4,level5_0,level5,level5_2,level5_3,level5_4,level4_0,level4,level4_2,level4_3,level4_4,level3_0,level3,level3_2,level3_3,level3_4,level2_0,level2,level2_2,level2_3,level2_4,cluster
31,"APC ""BTR-MDM 'Rakushka""",BTR-MDM__Rakushka_.jpg,"PJSC ""KURGANSKIJ MASHINOSTROITELNYJ ZAVOD""",KURGANMASHZAVOD,4501008142,TYUKOV PETR ALEKSANDROVICH,Tyukov_Petr.jpg,"JSC RESEARCH AND PRODUCTION ASSOCIATION ""VYSOKOTOCHNYE KOMPLEKSY""",VYSOKOTOCHNYE KOMPLEKSY,7704721192,DENISOV ALEXANDER VLADIMIROVICH,DENISOV_Alexander.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
32,"Trucks, Vehicles and Jeeps","Ural.jpg

","JSC ""AVTOMOBILNIJ ZAVOD ""URAL""","AVTOMOBILNIJ ZAVOD ""URAL""",7415029289,YAKOVLEV PAVEL ALEKSANDROVICH,Yakovlev_Pavel.jpg,,,,,,"JSC ""OBEDINENNAYA MASHINOSTROITELNAYA GRUPPA""",OBEDINENNAYA MASHINOSTROITELNAYA GRUPPA,7722470978,STREZHNEV DMITRY STEPANOVICH,STREZHNEV_Dmitry.jpg,MIDSTREAM GROUP LIMITED ,MIDSTREAM GROUP LIMITED ,ΗΕ351903,,,3
34,R-149MA1,R-149MA1_command_and_staff_vehicle.png,"JSC ""CONCERN ""SOZVEZDIE""",SOZVEZDIE,3666127502,ARTEMOV MIHAIL LEONIDOVICH,ARTEMOV_MIHAIL.jpg,"JSC ""OBEDINENNAYA PRIBOROSTROITELNAYA KORPORACIYA""",OBEDINENNAYA PRIBOROSTROITELNAYA KORPORACIYA,7704859803,SAKHNENKO SERGEY STEPANOVICH,SAKHNENKO_Sergey.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
35,R-330BMV Borisoglebsk-2B ,Borisoglebsk-2B.png,"JSC ""CONCERN ""SOZVEZDIE""",SOZVEZDIE,3666127502,ARTEMOV MIHAIL LEONIDOVICH,ARTEMOV_MIHAIL.jpg,"JSC ""OBEDINENNAYA PRIBOROSTROITELNAYA KORPORACIYA""",OBEDINENNAYA PRIBOROSTROITELNAYA KORPORACIYA,7704859803,SAKHNENKO SERGEY STEPANOVICH,SAKHNENKO_Sergey.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
36,Takhion UAV,Takhion_reconnaissance_UAV.png,"Ltd ""SCIENTIFIC AND PRODUCTION ASSOCIATION ""IZHEVSKIE BESPILOTNYE SISTEMY""",ZHEVSKIE BESPILOTNYE SISTEMY,1831117433,ZORIN ANDREJ VASILEVICH,ZORIN_Andrey.jpeg,"JSC ""RS-LIZING""",RS-LIZING,1832003703,ZORIN ANDREY VASILYEVICH,ZORIN_Andrey.jpeg,,,,,,,,,,,4
37,IFV BMD-4M,50_BMD-4M.jpg,"Ltd ""VOLGOGRAD MACHINE-BUILDING COMPANY ""VGTZ""",VOLGOGRAD MACHINE-BUILDING COMPANY ,3441023695,BOLOTIN MIHAIL GRIGOREVICH,Bolotin_Mihail.jpg,,,,,,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
39,MRAP KamAZ-63968 «Typhoon»,KamAZ-63968_Typhoon.jpg,"JSC ""REMDYZEL""",REMDYZEL,1650004741,ZAHAROV ALEKSANDR VLADIMIROVICH,ZAHAROV_ALEKSANDR_V.jpg,"PJSC ""KAMAZ""",KAMAZ,1650032058,KOGOGIN SERGEY ANATOLYEVICH,KOGOGIN_Sergey.jpg,,,,,,,,,,,5
38,"""Rtut-BM""",Rtut BM.jpg,"JSC ""KAZANSKIJ OPTIKO-MEHANICHESKIJ ZAVOD""",KAZANSKIJ OPTIKO-MEHANICHESKIJ ZAVOD,1660004229,MAKSIMOV VADIM VALEREVICH,MAKSIMOV_VADIM.jpg,MINISTRY OF LAND AND PROPERTY OF THE REPUBLIC OF TATARSTAN,MINISTRY OF LAND AND PROPERTY OF THE REPUBLIC OF TATARSTAN,1655043430,AGLIULLIN FANIL ANVAROVICH,AGLIULLIN_Fanil.jpg,,,,,,,,,,,6
40,"MRAP K-53949 ""Typhoon-K""","K-53949_Typhoon-K.jpg
","JSC ""REMDYZEL""",REMDYZEL,1650004741,ZAHAROV ALEKSANDR VLADIMIROVICH,ZAHAROV_ALEKSANDR_V.jpg,"PJSC ""KAMAZ""",KAMAZ,1650032058,KOGOGIN SERGEY ANATOLYEVICH,KOGOGIN_Sergey.jpg,,,,,,,,,,,5
41,"MRAP K-53949 ""Linza"" ",K53949Linza.jpg,"JSC ""REMDYZEL""",REMDYZEL,1650004741,ZAHAROV ALEKSANDR VLADIMIROVICH,ZAHAROV_ALEKSANDR_V.jpg,"PJSC ""KAMAZ""",KAMAZ,1650032058,KOGOGIN SERGEY ANATOLYEVICH,KOGOGIN_Sergey.jpg,,,,,,,,,,,5
